"method","model","benchmark","model_key","mask_type","budget","requested_budget","effective_budget","budget_repaired","mask_id","converged","iterations","gradient_norm","n_obs","n_test","n_total","n_params","design_rank","final_loss","newton_jitter","reason","train_log_loss","train_brier","test_log_loss","test_brier","true_avg","true_sd","true_min","true_q25","true_q50","true_q75","true_max","pred_avg","pred_sd","pred_min","pred_q25","pred_q50","pred_q75","pred_max","sigma_intercept","sigma_prompt","sigma_item","lambda_intercept","lambda_prompt","lambda_item","alpha","prompt_eff_mean","prompt_eff_sd","item_diff_mean","item_diff_sd","score_rule"
"m1_additive","m1_penalized_additive_logistic_irt","olym_math","deepseek-anthropic","two_way_balanced","0.1","0.1","0.1","False","10","True","6","7.221976141004569e-15","500","4500","5000","151","149","205.5483318109317","0.0","gradient_norm_below_tol","0.31889740321533033","0.08789665421544715","0.400107238761548","0.12123254844026267","0.6892","0.03746236206419145","0.61","0.66","0.7","0.71","0.8","0.7019544081582503","0.07680689055310151","0.5516908295320669","0.6454656834947347","0.7095769239469679","0.7515243591167888","0.8619077863056307","5.0","1.0","1.0","0.04","1.0","1.0","1.0209615264845096","-2.2204460492503132e-17","0.4320380730655046","4.440892098500626e-18","0.9156957832386372","observed_true_unobserved_probability_imputation"
"m1_additive","m1_penalized_additive_logistic_irt","olym_math","deepseek-anthropic","two_way_balanced","0.1","0.1","0.1","False","11","True","5","4.532665018796169e-08","500","4500","5000","151","149","205.16853230903052","0.0","gradient_norm_below_tol","0.3248718077778116","0.09077828297103004","0.40813410059171623","0.12571366954466962","0.6892","0.03746236206419145","0.61","0.66","0.7","0.71","0.8","0.7194067835934874","0.07034979839812648","0.5353551781508479","0.6695138303488313","0.7155660538256626","0.78424890434188","0.8469048398930785","5.0","1.0","1.0","0.04","1.0","1.0","1.105698316844903","-2.7755575615628915e-18","0.401331764889547","3.663735981263017e-17","0.8849131784130285","observed_true_unobserved_probability_imputation"
"m1_additive","m1_penalized_additive_logistic_irt","olym_math","deepseek-anthropic","two_way_balanced","0.1","0.1","0.1","False","12","True","5","1.7282178964107412e-08","500","4500","5000","151","149","208.02112569617213","0.0","gradient_norm_below_tol","0.3191504861135056","0.08644622145914033","0.39412694587852826","0.11840709977549659","0.6892","0.03746236206419145","0.61","0.66","0.7","0.71","0.8","0.6881725901930085","0.07439998632478954","0.4514170983059088","0.641089679980676","0.6720393749487577","0.7490529383241374","0.8104599622436972","5.0","1.0","1.0","0.04","1.0","1.0","0.9476215490715633","1.3322676295501878e-17","0.40536102057934253","3.552713678800501e-17","0.9471076945450464","observed_true_unobserved_probability_imputation"
"m1_additive","m1_penalized_additive_logistic_irt","olym_math","deepseek-anthropic","two_way_balanced","0.1","0.1","0.1","False","13","True","5","5.666256181235306e-08","500","4500","5000","151","149","206.639523758704","0.0","gradient_norm_below_tol","0.3162692898392424","0.08551971449068418","0.3951091399542276","0.11878517172867477","0.6892","0.03746236206419145","0.61","0.66","0.7","0.71","0.8","0.6959296631917284","0.06918584161513816","0.5298594623321473","0.661402069009257","0.6994278740815428","0.7459424099188553","0.8284084965692352","5.0","1.0","1.0","0.04","1.0","1.0","0.988082374008234","-1.1102230246251566e-18","0.38280620928176284","-1.5543122344752193e-17","0.9523507137057197","observed_true_unobserved_probability_imputation"
"m1_additive","m1_penalized_additive_logistic_irt","olym_math","deepseek-anthropic","two_way_balanced","0.1","0.1","0.1","False","14","True","5","5.4478233194739775e-08","500","4500","5000","151","149","207.5882823570458","0.0","gradient_norm_below_tol","0.31766019954231123","0.08614857910410563","0.39265499694501227","0.11719797821505638","0.6892","0.03746236206419145","0.61","0.66","0.7","0.71","0.8","0.6809020945454739","0.07912035409943151","0.4755227158017242","0.6424715527113452","0.6828552237226582","0.7410041497851577","0.8394363813565887","5.0","1.0","1.0","0.04","1.0","1.0","0.9104174393570613","2.7755575615628915e-18","0.4287312446260613","3.8857805861880476e-17","0.9453581291861373","observed_true_unobserved_probability_imputation"
"m1_additive","m1_penalized_additive_logistic_irt","olym_math","deepseek-anthropic","two_way_balanced","0.1","0.1","0.1","False","15","True","5","1.9662587072889435e-08","500","4500","5000","151","149","208.72534145758232","0.0","gradient_norm_below_tol","0.32236397704770653","0.08819632488188581","0.3988147485471113","0.12049130849910403","0.6892","0.03746236206419145","0.61","0.66","0.7","0.71","0.8","0.6904742731734561","0.06774449310550994","0.5315573888827905","0.6481795514531857","0.674603866229399","0.7464113059938312","0.838121264106656","5.0","1.0","1.0","0.04","1.0","1.0","0.9581185710436373","7.216449660063518e-18","0.37766710770029166","2.55351295663786e-17","0.9431357350168652","observed_true_unobserved_probability_imputation"
"m1_additive","m1_penalized_additive_logistic_irt","olym_math","deepseek-anthropic","two_way_balanced","0.1","0.1","0.1","False","16","True","5","1.2475030305977683e-07","500","4500","5000","151","149","202.96452858666305","0.0","step_norm_below_tol","0.3120185836866775","0.08460341668280003","0.3992711865687374","0.12103945973757024","0.6892","0.03746236206419145","0.61","0.66","0.7","0.71","0.8","0.7062468684556409","0.0736399035041596","0.5615642999070808","0.6396908158500536","0.7014015980140981","0.748664097705552","0.8569650781049493","5.0","1.0","1.0","0.04","1.0","1.0","1.0472083063937687","9.992007221626408e-18","0.42810710909025096","-1.4432899320127036e-17","0.9259780443943736","observed_true_unobserved_probability_imputation"
"m1_additive","m1_penalized_additive_logistic_irt","olym_math","deepseek-anthropic","two_way_balanced","0.1","0.1","0.1","False","17","True","5","7.848540218607274e-08","500","4500","5000","151","149","198.11522373645346","0.0","gradient_norm_below_tol","0.30376764243742993","0.08180858094048289","0.41101424491134975","0.12621133254090794","0.6892","0.03746236206419145","0.61","0.66","0.7","0.71","0.8","0.7194647438824365","0.07420136000155089","0.5188391054504564","0.6830455221634755","0.7222630532698537","0.7738273810722525","0.8642026905532988","5.0","1.0","1.0","0.04","1.0","1.0","1.1171853299616326","1.4988010832439614e-17","0.4217747484923839","0.0","0.9194644792310384","observed_true_unobserved_probability_imputation"
"m1_additive","m1_penalized_additive_logistic_irt","olym_math","deepseek-anthropic","two_way_balanced","0.1","0.1","0.1","False","18","True","5","6.7450187926238505e-09","500","4500","5000","151","149","214.58654423950716","0.0","gradient_norm_below_tol","0.3385263166970547","0.0946522377909256","0.4016707049994376","0.1216742030993113","0.6892","0.03746236206419145","0.61","0.66","0.7","0.71","0.8","0.6871625065119339","0.07171716618607031","0.4901348829477255","0.6525284485345609","0.6981726252528317","0.73816748661405","0.8001217892969017","5.0","1.0","1.0","0.04","1.0","1.0","0.9302094191704282","-1.1102230246251566e-17","0.37830183941860157","-3.441691376337985e-17","0.9189347060028158","observed_true_unobserved_probability_imputation"
"m1_additive","m1_penalized_additive_logistic_irt","olym_math","deepseek-anthropic","two_way_balanced","0.1","0.1","0.1","False","19","True","5","2.6893018347091977e-08","500","4500","5000","151","149","209.51159124891032","0.0","gradient_norm_below_tol","0.3258183822111521","0.08973471908616405","0.39532783850893594","0.118580162649018","0.6892","0.03746236206419145","0.61","0.66","0.7","0.71","0.8","0.695842432051542","0.06556315302228724","0.5714447974397987","0.6495726566983115","0.6903498195381519","0.7447971409605008","0.8745905806409457","5.0","1.0","1.0","0.04","1.0","1.0","0.9822676827432347","-7.355227538141662e-18","0.3718852261297378","3.3306690738754695e-18","0.9341423649712897","observed_true_unobserved_probability_imputation"
