"method","benchmark","model_key","mask_type","budget","requested_budget","effective_budget","budget_repaired","mask_id","n_obs","n_test","n_total","train_log_loss","train_brier","test_log_loss","test_brier","true_avg","true_sd","true_min","true_q25","true_q50","true_q75","true_max","pred_avg","pred_sd","pred_min","pred_q25","pred_q50","pred_q75","pred_max"
"naive","olym_math","deepseek-anthropic","two_way_balanced","0.3","0.3","0.3","False","15","1500","3500","5000","0.6087745669684569","0.2096888888888889","0.6341373340323956","0.22000634920634923","0.6892","0.03746236206419145","0.61","0.66","0.7","0.71","0.8","0.6866666666666668","0.07468755781599108","0.5","0.6333333333333333","0.6666666666666666","0.7333333333333333","0.8666666666666667"
"naive","olym_math","deepseek-anthropic","two_way_balanced","0.3","0.3","0.3","False","16","1500","3500","5000","0.6118297933316124","0.2109111111111111","0.6318383731972949","0.21943174603174606","0.6892","0.03746236206419145","0.61","0.66","0.7","0.71","0.8","0.6859999999999999","0.06770953034002092","0.5","0.6333333333333333","0.7","0.7333333333333333","0.8333333333333334"
"naive","olym_math","deepseek-anthropic","two_way_balanced","0.3","0.3","0.3","False","17","1500","3500","5000","0.6104664070054825","0.2103555555555556","0.6296969912878791","0.21823492063492067","0.6892","0.03746236206419145","0.61","0.66","0.7","0.71","0.8","0.688","0.06624355528487316","0.5333333333333333","0.6333333333333333","0.6666666666666666","0.7333333333333333","0.8333333333333334"
"naive","olym_math","deepseek-anthropic","two_way_balanced","0.3","0.3","0.3","False","18","1500","3500","5000","0.6116794398677377","0.21113333333333337","0.638619913795143","0.22218095238095242","0.6892","0.03746236206419145","0.61","0.66","0.7","0.71","0.8","0.6779999999999999","0.08561104894042751","0.4666666666666667","0.6333333333333333","0.6666666666666666","0.7333333333333333","0.8333333333333334"
"naive","olym_math","deepseek-anthropic","two_way_balanced","0.3","0.3","0.3","False","19","1500","3500","5000","0.5951377409791893","0.20346666666666668","0.6429066537001661","0.22377142857142862","0.6892","0.03746236206419145","0.61","0.66","0.7","0.71","0.8","0.6986666666666665","0.08490624414484828","0.4666666666666667","0.6333333333333333","0.7","0.7666666666666667","0.8666666666666667"
"naive","olym_math","deepseek-anthropic","two_way_balanced","0.6","0.6","0.6","False","0","3000","2000","5000","0.6134766422213511","0.21149444444444446","0.6303447875023496","0.21877222222222223","0.6892","0.03746236206419145","0.61","0.66","0.7","0.71","0.8","0.6896666666666665","0.050830963477712696","0.5666666666666667","0.6666666666666666","0.6833333333333333","0.7333333333333333","0.7833333333333333"
"naive","olym_math","deepseek-anthropic","two_way_balanced","0.6","0.6","0.6","False","1","3000","2000","5000","0.6125384718875699","0.21115555555555557","0.6301334698554253","0.21859444444444442","0.6892","0.03746236206419145","0.61","0.66","0.7","0.71","0.8","0.6893333333333334","0.055303737679839905","0.5666666666666667","0.65","0.7","0.7166666666666667","0.85"
"naive","olym_math","deepseek-anthropic","two_way_balanced","0.6","0.6","0.6","False","2","3000","2000","5000","0.6153241338035378","0.21242777777777777","0.6273139552736321","0.2173222222222222","0.6892","0.03746236206419145","0.61","0.66","0.7","0.71","0.8","0.685","0.05844256051730275","0.5333333333333333","0.65","0.6833333333333333","0.7333333333333333","0.7833333333333333"
"naive","olym_math","deepseek-anthropic","two_way_balanced","0.6","0.6","0.6","False","3","3000","2000","5000","0.6133850602520854","0.21153333333333335","0.6286549100703549","0.21781666666666666","0.6892","0.03746236206419145","0.61","0.66","0.7","0.71","0.8","0.688","0.056448158143761695","0.5333333333333333","0.65","0.6833333333333333","0.7333333333333333","0.8166666666666667"
"naive","olym_math","deepseek-anthropic","two_way_balanced","0.6","0.6","0.6","False","4","3000","2000","5000","0.6129499955609855","0.2113611111111111","0.6321719963707294","0.21930555555555553","0.6892","0.03746236206419145","0.61","0.66","0.7","0.71","0.8","0.689","0.0545659018226892","0.5833333333333334","0.65","0.6833333333333333","0.7166666666666667","0.8166666666666667"
"naive","olym_math","deepseek-anthropic","two_way_balanced","0.6","0.6","0.6","False","5","3000","2000","5000","0.61258875593704","0.2111611111111111","0.6315986471184935","0.2191888888888889","0.6892","0.03746236206419145","0.61","0.66","0.7","0.71","0.8","0.6890000000000001","0.0564049578882603","0.55","0.6666666666666666","0.7","0.7333333333333333","0.8"
"naive","olym_math","deepseek-anthropic","two_way_balanced","0.6","0.6","0.6","False","6","3000","2000","5000","0.6140577230904208","0.21179444444444445","0.6274763519602029","0.21748888888888887","0.6892","0.03746236206419145","0.61","0.66","0.7","0.71","0.8","0.689","0.050351373079341705","0.5666666666666667","0.6666666666666666","0.6833333333333333","0.7166666666666667","0.8166666666666667"
"naive","olym_math","deepseek-anthropic","two_way_balanced","0.6","0.6","0.6","False","7","3000","2000","5000","0.6107804193489934","0.21025","0.6346942855748493","0.22055000000000002","0.6892","0.03746236206419145","0.61","0.66","0.7","0.71","0.8","0.6936666666666667","0.04784351855344355","0.5666666666666667","0.6666666666666666","0.7","0.7166666666666667","0.8166666666666667"
"naive","olym_math","deepseek-anthropic","two_way_balanced","0.6","0.6","0.6","False","8","3000","2000","5000","0.6127511619784575","0.21124444444444446","0.6326487838146944","0.21970555555555557","0.6892","0.03746236206419145","0.61","0.66","0.7","0.71","0.8","0.6893333333333332","0.054477522461238444","0.55","0.65","0.6833333333333333","0.7333333333333333","0.85"
"naive","olym_math","deepseek-anthropic","two_way_balanced","0.6","0.6","0.6","False","9","3000","2000","5000","0.6151048292000472","0.21231666666666668","0.625527998180054","0.21648333333333336","0.6892","0.03746236206419145","0.61","0.66","0.7","0.71","0.8","0.687","0.0526282043314843","0.5666666666666667","0.65","0.6833333333333333","0.7166666666666667","0.8"
"naive","olym_math","deepseek-anthropic","two_way_balanced","0.6","0.6","0.6","False","10","3000","2000","5000","0.6131085242049716","0.2114111111111111","0.6316598033218713","0.21930555555555556","0.6892","0.03746236206419145","0.61","0.66","0.7","0.71","0.8","0.688","0.057542255005440225","0.5666666666666667","0.6333333333333333","0.7","0.7166666666666667","0.8166666666666667"
"naive","olym_math","deepseek-anthropic","two_way_balanced","0.6","0.6","0.6","False","11","3000","2000","5000","0.6137946893887729","0.21164444444444447","0.6284067526311002","0.21788888888888888","0.6892","0.03746236206419145","0.61","0.66","0.7","0.71","0.8","0.6906666666666668","0.045195468638874935","0.5833333333333334","0.6666666666666666","0.6833333333333333","0.7166666666666667","0.8166666666666667"
"naive","olym_math","deepseek-anthropic","two_way_balanced","0.6","0.6","0.6","False","12","3000","2000","5000","0.6115011670992817","0.21055555555555558","0.6305769430554009","0.21901111111111113","0.6892","0.03746236206419145","0.61","0.66","0.7","0.71","0.8","0.6926666666666667","0.04869731585445517","0.5833333333333334","0.6666666666666666","0.7","0.7333333333333333","0.8"
"naive","olym_math","deepseek-anthropic","two_way_balanced","0.6","0.6","0.6","False","13","3000","2000","5000","0.6130646469991423","0.21132222222222224","0.630291286844156","0.21879444444444443","0.6892","0.03746236206419145","0.61","0.66","0.7","0.71","0.8","0.6893333333333334","0.05374416595454486","0.5666666666666667","0.65","0.7","0.7333333333333333","0.7833333333333333"
"naive","olym_math","deepseek-anthropic","two_way_balanced","0.6","0.6","0.6","False","14","3000","2000","5000","0.6082817906479618","0.20913333333333328","0.6383021311741875","0.22216666666666668","0.6892","0.03746236206419145","0.61","0.66","0.7","0.71","0.8","0.6953333333333334","0.05260126827402816","0.5666666666666667","0.6666666666666666","0.7","0.7333333333333333","0.8333333333333334"
"naive","olym_math","deepseek-anthropic","two_way_balanced","0.6","0.6","0.6","False","15","3000","2000","5000","0.6184435992603174","0.21385555555555558","0.6219312173825171","0.21482777777777778","0.6892","0.03746236206419145","0.61","0.66","0.7","0.71","0.8","0.6839999999999999","0.04832336279989473","0.5833333333333334","0.65","0.6833333333333333","0.7166666666666667","0.7833333333333333"
"naive","olym_math","deepseek-anthropic","two_way_balanced","0.6","0.6","0.6","False","16","3000","2000","5000","0.6116859585091782","0.21074444444444446","0.6317248356481512","0.21923888888888887","0.6892","0.03746236206419145","0.61","0.66","0.7","0.71","0.8","0.6913333333333332","0.051972432951018104","0.6","0.6666666666666666","0.6833333333333333","0.7333333333333333","0.85"
