model,subject,mask_design,benchmark,model_id,budget,mask_type,method,prompt_mae_mean,prompt_mae_std,prompt_rmse_mean,prompt_rmse_std,wasserstein_1_mean,wasserstein_1_std,test_log_loss_mean,test_log_loss_std,test_brier_mean,test_brier_std,converged_rate,cover_prompt_latent_95_mean,cover_prompt_latent_95_std,mean_interval_width_latent_95_mean,mean_interval_width_latent_95_std,median_interval_width_latent_95_mean,median_interval_width_latent_95_std,cover_prompt_predictive_95_mean,cover_prompt_predictive_95_std,mean_interval_width_predictive_95_mean,mean_interval_width_predictive_95_std,median_interval_width_predictive_95_mean,median_interval_width_predictive_95_std,cover_avg_latent_95_mean,cover_avg_latent_95_std,avg_interval_width_latent_95_mean,avg_interval_width_latent_95_std,cover_avg_predictive_95_mean,cover_avg_predictive_95_std,avg_interval_width_predictive_95_mean,avg_interval_width_predictive_95_std
google_gemma_7b,anatomy,random,mmlu:anatomy,google_gemma_7b,200.0,random_uniform,PE-Rasch,0.1326725911777098,0.0133568776923876,0.1715449572371637,0.0147990935594059,0.1191136509558756,0.013816772914471,0.5829714862239913,0.0531894344975294,0.169027170888727,0.0120683566892128,1.0,,,,,,,,,,,,,,,,,,,,
google_gemma_7b,anatomy,random,mmlu:anatomy,google_gemma_7b,400.0,random_uniform,Avg,0.2187529160756777,0.0103379484520107,0.272206403055424,0.0119948572506706,0.2051917255994872,0.0106229485048019,2.668429470727192,0.2930465982876299,0.3198188699087231,0.0068688260439285,,,,,,,,,,,,,,,,,,,,,
google_gemma_7b,anatomy,random,mmlu:anatomy,google_gemma_7b,400.0,random_uniform,BayPIRE,0.0187053143739887,0.0050815886535794,0.0229192276833487,0.0051379580395055,0.0154237997919096,0.006192280256317,0.2928005672694843,0.0106860117277472,0.0844266843625678,0.0045649772447937,1.0,0.987,0.0182878222991269,0.1299882900004423,0.0135265964623338,0.1300677740437161,0.0135930540893448,0.998,0.0042163702135578,0.1556164814814814,0.0121932618750973,0.1562962962962963,0.0123209629134564,1.0,0.0,0.0667817654779542,0.0030646822208103,1.0,0.0,0.0678742592592592,0.0030690919082009
google_gemma_7b,anatomy,random,mmlu:anatomy,google_gemma_7b,400.0,random_uniform,PE-Rasch,0.0898514175382813,0.0135171061683995,0.1281456093905457,0.0178235330517437,0.0762247899050734,0.0136107822939223,0.4808310811489585,0.0410954190511974,0.124024521491694,0.0083840883070908,1.0,,,,,,,,,,,,,,,,,,,,
google_gemma_7b,anatomy,random,mmlu:anatomy,google_gemma_7b,800.0,random_uniform,Avg,0.1442483302658546,0.0078170263753341,0.1847096273990663,0.0136878986718689,0.1319191427866671,0.0072626261521753,1.0914350708232388,0.1924953439581459,0.2798039952579929,0.0056844622296467,,,,,,,,,,,,,,,,,,,,,
google_gemma_7b,anatomy,random,mmlu:anatomy,google_gemma_7b,800.0,random_uniform,BayPIRE,0.014842128398508,0.0006003998068518,0.0185090380970995,0.0007673478038717,0.0099247050671666,0.0012786986450127,0.2233849415828384,0.005551145512892,0.0636620480672089,0.001601584112697,1.0,0.971,0.0152388392675499,0.0842860130496233,0.0102986585615421,0.084399595407127,0.0105071144864682,0.995,0.0052704627669473,0.1154601851851851,0.00890381720765,0.1148148148148148,0.008729713347982,1.0,0.0,0.037848856664673,0.0016067727732557,1.0,0.0,0.0385961111111111,0.0014430433877292
google_gemma_7b,anatomy,random,mmlu:anatomy,google_gemma_7b,800.0,random_uniform,PE-Rasch,0.0723111501714641,0.0096775468687436,0.0958867898515359,0.0117954673446261,0.0593220678051456,0.0095912940400368,0.3939910592587879,0.0420293084433965,0.0970200304033705,0.0078736134791692,1.0,,,,,,,,,,,,,,,,,,,,
google_gemma_7b,anatomy,random,mmlu:anatomy,google_gemma_7b,1600.0,random_uniform,Avg,0.0972965052544923,0.0061760364758545,0.1210870210583661,0.0100159146572537,0.085114503974039,0.0060274484617241,0.7335993800362303,0.0367973935650399,0.2600469251990567,0.0028496434330042,,,,,,,,,,,,,,,,,,,,,
google_gemma_7b,anatomy,random,mmlu:anatomy,google_gemma_7b,1600.0,random_uniform,BayPIRE,0.0146791170193788,0.0016104206610007,0.0183863273522381,0.0018431674387659,0.0088416727497765,0.0025718634003316,0.1923110433386542,0.0030849750204698,0.0570162643623583,0.0011219994111418,1.0,0.869,0.0883742043811428,0.0582177281696524,0.006372800394943,0.0583755280543234,0.0064715240822251,0.992,0.0042163702135578,0.0935312962962962,0.004174237972434,0.0937129629629629,0.0049514580887547,0.9,0.3162277660168379,0.0220372054945324,0.0008654941493045,0.9,0.3162277660168379,0.0230251851851851,0.0006800285325338
google_gemma_7b,anatomy,random,mmlu:anatomy,google_gemma_7b,1600.0,random_uniform,PE-Rasch,0.050291077580062,0.003193613676623,0.0647197724337169,0.0045968712584859,0.0390907320809847,0.0034549204914035,0.2634304560966997,0.0105482642233647,0.0742628193304971,0.0029183619028693,1.0,,,,,,,,,,,,,,,,,,,,
